10/08/2024 09:16:36Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
1.74954  	0.00000  	0.00000  	0.00000  	0.00000  	-1.18512  	-0.20833  	-0.86278  	-2.50000  	-3.02442  	-1.25000  	-0.08628  	-0.00000  	-0.00000  	-737.84722  	-254.63905  	-9234.48090  	-3618.55272  	NaN  	NaN  	0.00000  	0.00000  	0.00000  	0.00000  	0.00000  	0.00000  	0.00000  
2.74991  	22.81789  	50.26048  	50.27223  	26.95798  	-1.18512  	-0.00218  	0.01620  	-0.00620  	-3.02442  	0.06080  	-0.08567  	-52.35686  	-0.05828  	-1.82907  	4.78225  	-17967.24902  	-11535.45120  	Inf  	-Inf  	0.00399  	0.00003  	0.00419  	0.00396  	0.00405  	0.00000  	0.00000  
3.75066  	22.82020  	50.26606  	50.27742  	26.95416  	-1.18512  	-0.00144  	0.01609  	-0.00179  	-3.02442  	0.06231  	-0.08569  	-52.27938  	-0.05631  	-0.52958  	4.74993  	-17966.93194  	-11536.45881  	Inf  	-Inf  	0.00400  	0.00003  	0.00420  	0.00397  	0.00405  	0.00000  	0.00000  
4.75167  	22.82116  	50.27155  	50.28351  	26.94902  	-1.18512  	-0.00207  	0.01633  	-0.00550  	-3.02442  	0.06089  	-0.08573  	-52.20215  	-0.05929  	-1.62336  	4.81950  	-17966.05602  	-11537.54277  	Inf  	-Inf  	0.00399  	0.00003  	0.00419  	0.00396  	0.00405  	0.00000  	0.00000  
5.75149  	22.82222  	50.27588  	50.28849  	26.94494  	-1.18512  	-0.00180  	0.01669  	-0.00508  	-3.02442  	0.06111  	-0.08568  	-52.13715  	-0.06248  	-1.49972  	4.92655  	-17965.42456  	-11538.41461  	Inf  	-Inf  	0.00399  	0.00003  	0.00420  	0.00397  	0.00405  	0.00000  	0.00000  
6.75146  	22.82362  	50.28131  	50.29328  	26.94082  	-1.18512  	-0.00176  	0.01770  	-0.00365  	-3.02442  	0.06049  	-0.08573  	-52.06747  	-0.05933  	-1.07845  	5.22365  	-17964.85289  	-11539.37155  	Inf  	-Inf  	0.00399  	0.00003  	0.00419  	0.00397  	0.00406  	0.00000  	0.00000  
7.75112  	22.82417  	50.28723  	50.30020  	26.93533  	-1.18512  	-0.00250  	0.01656  	-0.00225  	-3.02442  	0.05972  	-0.08571  	-51.99109  	-0.06432  	-0.66267  	4.88686  	-17963.81738  	-11540.57407  	Inf  	-Inf  	0.00400  	0.00003  	0.00419  	0.00395  	0.00405  	0.00000  	0.00000  
8.75151  	22.82646  	50.29291  	50.30504  	26.93060  	-1.18512  	-0.00165  	0.01742  	-0.00592  	-3.02442  	0.06025  	-0.08569  	-51.90221  	-0.06011  	-1.74659  	5.14273  	-17963.30667  	-11541.55817  	Inf  	-Inf  	0.00399  	0.00003  	0.00419  	0.00397  	0.00406  	0.00000  	0.00000  
9.75117  	22.82725  	50.29679  	50.30972  	26.92686  	-1.18512  	-0.00068  	0.01747  	-0.00744  	-3.02442  	0.05988  	-0.08572  	-51.84485  	-0.06413  	-2.19544  	5.15572  	-17962.68766  	-11542.35976  	Inf  	-Inf  	0.00399  	0.00003  	0.00419  	0.00399  	0.00406  	0.00000  	0.00000  
10.75164  	22.82797  	50.30026  	50.31367  	26.92278  	-1.18512  	-0.00211  	0.01676  	-0.00395  	-3.02442  	0.06200  	-0.08572  	-51.78432  	-0.06646  	-1.16479  	4.94646  	-17961.98307  	-11543.05458  	Inf  	-Inf  	0.00399  	0.00003  	0.00420  	0.00396  	0.00405  	0.00000  	0.00000  
11.75191  	22.82963  	50.30499  	50.31748  	26.92006  	-1.18512  	-0.00170  	0.01687  	-0.00711  	-3.02442  	0.06161  	-0.08572  	-51.72888  	-0.06193  	-2.09961  	4.97978  	-17961.76076  	-11543.85441  	Inf  	-Inf  	0.00399  	0.00003  	0.00420  	0.00397  	0.00405  	0.00000  	0.00000  
12.75252  	22.83148  	50.31004  	50.32274  	26.91487  	-1.18512  	-0.00188  	0.01684  	-0.00842  	-3.02442  	0.06077  	-0.08571  	-51.63985  	-0.06298  	-2.48445  	4.96888  	-17961.06103  	-11544.81952  	Inf  	-Inf  	0.00399  	0.00003  	0.00419  	0.00396  	0.00405  	0.00000  	0.00000  
13.75243  	22.83235  	50.31484  	50.32643  	26.91028  	-1.18512  	-0.00116  	0.01648  	-0.00445  	-3.02442  	0.06034  	-0.08573  	-51.57074  	-0.05746  	-1.31377  	4.86507  	-17960.27885  	-11545.61492  	Inf  	-Inf  	0.00399  	0.00003  	0.00419  	0.00398  	0.00405  	0.00000  	0.00000  
14.75264  	22.83360  	50.31869  	50.33116  	26.90628  	-1.18512  	-0.00136  	0.01707  	-0.00367  	-3.02442  	0.06057  	-0.08565  	-51.50435  	-0.06186  	-1.08351  	5.03867  	-17959.70289  	-11546.41790  	Inf  	-Inf  	0.00399  	0.00003  	0.00419  	0.00397  	0.00405  	0.00000  	0.00000  
15.75351  	22.83454  	50.32222  	50.33605  	26.90310  	-1.18512  	-0.00138  	0.01637  	-0.00152  	-3.02442  	0.05983  	-0.08576  	-51.45237  	-0.06858  	-0.44717  	4.83271  	-17959.23415  	-11547.20685  	Inf  	-Inf  	0.00400  	0.00002  	0.00419  	0.00397  	0.00405  	0.00000  	0.00000  
16.75547  	22.83693  	50.32592  	50.33897  	26.90060  	-1.18512  	-0.00182  	0.06412  	0.04743  	-3.02442  	0.06132  	-0.08573  	-51.39031  	-0.06468  	13.99862  	18.92385  	-17959.21148  	-11547.82642  	Inf  	-Inf  	0.00408  	0.00003  	0.00420  	0.00396  	0.00427  	0.00000  	0.00000  
17.75750  	22.83903  	50.32889  	50.34322  	26.96326  	-1.18512  	-0.00172  	0.09723  	0.08321  	-3.02442  	0.06050  	-0.08571  	-52.15630  	-0.07107  	24.55729  	28.69633  	-17972.78869  	-11548.50210  	Inf  	-Inf  	0.00413  	0.00003  	0.00419  	0.00397  	0.00442  	0.00000  	0.00000  
18.75738  	22.84245  	50.33263  	50.34697  	27.19477  	-1.18512  	0.00427  	0.11510  	0.10397  	-3.02442  	0.06012  	-0.08568  	-55.04073  	-0.07108  	30.68662  	33.97015  	-18022.07957  	-11549.20309  	Inf  	-Inf  	0.00417  	0.00003  	0.00419  	0.00408  	0.00451  	0.00000  	0.00000  
19.75743  	22.84890  	50.33649  	50.34399  	27.58674  	-1.18512  	0.00818  	0.13778  	0.12688  	-3.02442  	0.06153  	-0.08573  	-59.91607  	-0.03719  	37.44627  	40.66486  	-18105.79514  	-11549.28653  	Inf  	-Inf  	0.00420  	0.00003  	0.00420  	0.00416  	0.00461  	0.00000  	0.00000  
20.75750  	22.85567  	50.34041  	50.32990  	28.07857  	-1.18512  	0.00961  	0.16632  	0.16070  	-3.02442  	0.06062  	-0.08571  	-66.05046  	-0.05206  	47.42831  	49.08814  	-18210.77901  	-11548.33357  	Inf  	-Inf  	0.00426  	0.00003  	0.00419  	0.00418  	0.00474  	0.00000  	0.00000  
21.75749  	22.86163  	50.34314  	50.30985  	28.54961  	-1.18512  	0.01079  	0.19865  	0.19286  	-3.02442  	0.06140  	-0.08570  	-71.93195  	-0.16507  	56.92065  	58.62963  	-18311.43732  	-11546.71176  	Inf  	-Inf  	0.00431  	0.00003  	0.00420  	0.00421  	0.00489  	0.00000  	0.00000  
22.75741  	22.86888  	50.34616  	50.28829  	29.01922  	-1.18512  	0.01236  	0.23612  	0.23838  	-3.02442  	0.06107  	-0.08573  	-77.77916  	-0.28687  	70.35540  	69.68943  	-18412.28373  	-11544.97541  	Inf  	-Inf  	0.00438  	0.00003  	0.00420  	0.00424  	0.00506  	0.00000  	0.00000  
23.75731  	22.87782  	50.34852  	50.26643  	29.49236  	-1.18512  	0.01362  	0.29284  	0.30046  	-3.02442  	0.06120  	-0.08578  	-83.64944  	-0.40696  	88.67609  	86.42889  	-18514.45029  	-11543.15098  	Inf  	-Inf  	0.00448  	0.00002  	0.00420  	0.00426  	0.00532  	0.00000  	0.00000  
24.75849  	22.88899  	50.35097  	50.24599  	29.95123  	-1.18512  	0.01680  	0.42601  	0.44424  	-3.02442  	0.06130  	-0.08566  	-89.31126  	-0.52041  	131.11237  	125.73335  	-18614.27118  	-11541.46620  	Inf  	-Inf  	0.00471  	0.00003  	0.00420  	0.00432  	0.00594  	0.00000  	0.00000  
25.75849  	22.90590  	50.35125  	50.22813  	30.31969  	-1.18512  	0.02067  	0.53482  	0.56049  	-3.02442  	0.06106  	-0.08569  	-93.75715  	-0.61038  	165.42096  	157.84690  	-18696.25987  	-11539.82018  	Inf  	-Inf  	0.00490  	0.00003  	0.00420  	0.00440  	0.00644  	0.00000  	0.00000  
26.75843  	22.92988  	50.35110  	50.21175  	30.63422  	-1.18512  	0.02410  	0.68576  	0.73613  	-3.02442  	0.06173  	-0.08575  	-97.43140  	-0.69081  	217.25930  	202.39345  	-18768.38920  	-11538.27289  	Inf  	-Inf  	0.00518  	0.00002  	0.00420  	0.00446  	0.00713  	0.00000  	0.00000  
27.75864  	22.95880  	50.34916  	50.19438  	30.89458  	-1.18512  	0.02904  	0.87141  	0.94970  	-3.02442  	0.06151  	-0.08573  	-100.35833  	-0.76731  	280.29439  	257.18695  	-18830.10969  	-11536.46417  	Inf  	-Inf  	0.00552  	0.00003  	0.00420  	0.00456  	0.00799  	0.00000  	0.00000  
28.75832  	22.99862  	50.34504  	50.17578  	31.06958  	-1.18512  	0.03550  	1.04741  	1.15826  	-3.02442  	0.06164  	-0.08574  	-102.06783  	-0.83906  	341.84849  	309.13011  	-18875.99155  	-11534.33790  	Inf  	-Inf  	0.00585  	0.00003  	0.00420  	0.00468  	0.00880  	0.00000  	0.00000  
29.75973  	23.04237  	50.34125  	50.15773  	31.13030  	-1.18512  	0.04082  	1.18995  	1.32913  	-3.02442  	0.05919  	-0.08575  	-102.28242  	-0.90982  	392.27720  	351.20004  	-18898.31958  	-11532.29406  	Inf  	-Inf  	0.00613  	0.00002  	0.00419  	0.00478  	0.00946  	0.00000  	0.00000  
30.76051  	23.08182  	50.33576  	50.13871  	31.09962  	-1.18512  	0.04405  	1.27524  	1.43516  	-3.02442  	0.06203  	-0.08576  	-101.39558  	-0.97684  	423.57191  	376.37393  	-18900.19541  	-11529.99977  	Inf  	-Inf  	0.00630  	0.00002  	0.00420  	0.00485  	0.00985  	0.00000  	0.00000  
31.76088  	23.11298  	50.32960  	50.11714  	30.97637  	-1.18512  	0.04830  	1.30000  	1.46148  	-3.02442  	0.06328  	-0.08574  	-99.44283  	-1.05324  	431.34071  	383.67975  	-18880.51397  	-11527.40502  	Inf  	-Inf  	0.00634  	0.00003  	0.00420  	0.00493  	0.00996  	0.00000  	0.00000  
32.76019  	23.12812  	50.32251  	50.09648  	30.77243  	-1.18512  	0.04997  	1.29941  	1.46065  	-3.02442  	0.06134  	-0.08578  	-96.67234  	-1.12052  	431.09534  	383.50731  	-18840.18331  	-11524.80795  	Inf  	-Inf  	0.00634  	0.00002  	0.00420  	0.00496  	0.00996  	0.00000  	0.00000  
33.76066  	23.12103  	50.31494  	50.07791  	30.54910  	-1.18512  	0.04872  	1.30091  	1.46281  	-3.02442  	0.06192  	-0.08575  	-93.93755  	-1.17504  	431.73324  	383.95013  	-18791.00474  	-11522.36139  	Inf  	-Inf  	0.00634  	0.00002  	0.00420  	0.00494  	0.00997  	0.00000  	0.00000  
34.76040  	23.10139  	50.30585  	50.05989  	30.31342  	-1.18512  	0.05052  	1.30057  	1.46341  	-3.02442  	0.06184  	-0.08570  	-91.20556  	-1.21934  	431.91028  	383.84845  	-18736.56719  	-11519.82434  	Inf  	-Inf  	0.00634  	0.00003  	0.00420  	0.00497  	0.00997  	0.00000  	0.00000  
35.76016  	23.07424  	50.29610  	50.04188  	30.06273  	-1.18512  	0.05073  	1.30125  	1.46041  	-3.02442  	0.06070  	-0.08573  	-88.37864  	-1.26029  	431.02363  	384.05060  	-18677.39492  	-11517.22748  	Inf  	-Inf  	0.00634  	0.00003  	0.00419  	0.00497  	0.00997  	0.00000  	0.00000  
36.76064  	23.04067  	50.28483  	50.02336  	29.81075  	-1.18512  	0.05076  	1.30230  	1.46256  	-3.02442  	0.06247  	-0.08577  	-85.61640  	-1.29622  	431.65840  	384.36062  	-18616.65158  	-11514.44067  	Inf  	-Inf  	0.00634  	0.00002  	0.00420  	0.00497  	0.00998  	0.00000  	0.00000  
37.76142  	23.00927  	50.27443  	50.00731  	29.59571  	-1.18512  	0.04952  	1.29951  	1.46215  	-3.02442  	0.06228  	-0.08570  	-83.29415  	-1.32424  	431.53825  	383.53672  	-18564.29010  	-11511.96629  	Inf  	-Inf  	0.00634  	0.00003  	0.00420  	0.00495  	0.00996  	0.00000  	0.00000  
38.76166  	22.97873  	50.26294  	49.99177  	29.39706  	-1.18512  	0.04992  	1.30131  	1.46428  	-3.02442  	0.06220  	-0.08567  	-81.16812  	-1.34434  	432.16529  	384.06603  	-18515.64073  	-11509.43863  	Inf  	-Inf  	0.00634  	0.00003  	0.00420  	0.00496  	0.00997  	0.00000  	0.00000  
39.76123  	22.94827  	50.25072  	49.97588  	29.20124  	-1.18512  	0.05053  	1.30068  	1.45904  	-3.02442  	0.06215  	-0.08574  	-79.07696  	-1.36251  	430.61837  	383.88145  	-18467.65709  	-11506.80920  	Inf  	-Inf  	0.00633  	0.00003  	0.00420  	0.00497  	0.00997  	0.00000  	0.00000  
40.76154  	22.91974  	50.23761  	49.96058  	29.01582  	-1.18512  	0.04963  	1.30340  	1.46433  	-3.02442  	0.06216  	-0.08579  	-77.09291  	-1.37338  	432.18094  	384.68500  	-18422.33181  	-11504.15121  	Inf  	-Inf  	0.00634  	0.00002  	0.00420  	0.00495  	0.00998  	0.00000  	0.00000  
41.76124  	22.89696  	50.22635  	49.94680  	28.86241  	-1.18512  	0.04868  	1.30561  	1.46776  	-3.02442  	0.06134  	-0.08577  	-75.44096  	-1.38588  	433.19380  	385.33554  	-18385.03844  	-11501.80979  	Inf  	-Inf  	0.00635  	0.00002  	0.00420  	0.00493  	0.00999  	0.00000  	0.00000  
42.76238  	22.87720  	50.21489  	49.93424  	28.72302  	-1.18512  	0.04985  	1.30763  	1.47391  	-3.02442  	0.06182  	-0.08570  	-73.92807  	-1.39131  	435.00849  	385.93235  	-18351.37778  	-11499.56442  	Inf  	-Inf  	0.00636  	0.00003  	0.00420  	0.00496  	0.01000  	0.00000  	0.00000  
43.76360  	22.85803  	50.20224  	49.92026  	28.58906  	-1.18512  	0.04927  	1.30939  	1.47340  	-3.02442  	0.06077  	-0.08574  	-72.47636  	-1.39789  	434.85797  	386.45238  	-18319.01431  	-11497.07324  	Inf  	-Inf  	0.00636  	0.00002  	0.00419  	0.00495  	0.01001  	0.00000  	0.00000  
44.76393  	22.84050  	50.18840  	49.90668  	28.46328  	-1.18512  	0.04965  	1.31049  	1.47330  	-3.02442  	0.06100  	-0.08573  	-71.10735  	-1.39667  	434.82797  	386.77520  	-18288.74306  	-11494.50999  	Inf  	-Inf  	0.00636  	0.00003  	0.00420  	0.00495  	0.01001  	0.00000  	0.00000  
45.76443  	22.82855  	50.17755  	49.89434  	28.36103  	-1.18512  	0.04945  	1.31149  	1.47566  	-3.02442  	0.06072  	-0.08564  	-69.96536  	-1.40402  	435.52391  	387.07220  	-18264.63599  	-11492.34128  	Inf  	-Inf  	0.00636  	0.00003  	0.00419  	0.00495  	0.01002  	0.00000  	0.00000  
46.76534  	22.81739  	50.16641  	49.88209  	28.26824  	-1.18512  	0.04890  	1.31172  	1.47794  	-3.02442  	0.06168  	-0.08575  	-68.93307  	-1.40948  	436.19669  	387.13849  	-18242.70317  	-11490.15529  	Inf  	-Inf  	0.00636  	0.00002  	0.00420  	0.00494  	0.01002  	0.00000  	0.00000  
47.76530  	22.80629  	50.15519  	49.86912  	28.17834  	-1.18512  	0.05159  	1.31160  	1.47529  	-3.02442  	0.06238  	-0.08572  	-67.93661  	-1.41822  	435.41422  	387.10556  	-18221.40136  	-11487.89348  	Inf  	-Inf  	0.00636  	0.00003  	0.00420  	0.00499  	0.01002  	0.00000  	0.00000  
48.76530  	22.79873  	50.14269  	49.85600  	28.09570  	-1.18512  	0.05049  	1.31288  	1.47700  	-3.02442  	0.06095  	-0.08569  	-66.98719  	-1.42127  	435.92015  	387.48145  	-18202.38762  	-11485.49923  	Inf  	-Inf  	0.00636  	0.00003  	0.00420  	0.00497  	0.01002  	0.00000  	0.00000  
49.76566  	22.79227  	50.13198  	49.84400  	28.02747  	-1.18512  	0.05103  	1.31273  	1.47833  	-3.02442  	0.05930  	-0.08572  	-66.20587  	-1.42767  	436.31341  	387.43874  	-18186.64930  	-11483.37660  	Inf  	-Inf  	0.00637  	0.00003  	0.00419  	0.00498  	0.01002  	0.00000  	0.00000  
50.76750  	22.78631  	50.12160  	49.83302  	27.96616  	-1.18512  	0.05084  	1.31315  	1.48111  	-3.02442  	0.06187  	-0.08571  	-65.50596  	-1.43061  	437.13336  	387.56161  	-18172.47656  	-11481.37963  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00498  	0.01003  	0.00000  	0.00000  
51.76746  	22.78166  	50.11043  	49.82157  	27.90813  	-1.18512  	0.05165  	1.31307  	1.47973  	-3.02442  	0.06082  	-0.08574  	-64.83087  	-1.43199  	436.72554  	387.53813  	-18159.27796  	-11479.26611  	Inf  	-Inf  	0.00637  	0.00003  	0.00419  	0.00499  	0.01002  	0.00000  	0.00000  
52.76744  	22.77835  	50.09856  	49.81111  	27.85395  	-1.18512  	0.05039  	1.31254  	1.47916  	-3.02442  	0.06155  	-0.08570  	-64.18746  	-1.42503  	436.55801  	387.38014  	-18147.17446  	-11477.17886  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00497  	0.01002  	0.00000  	0.00000  
53.76741  	22.77618  	50.08886  	49.80186  	27.81027  	-1.18512  	0.05093  	1.31385  	1.47870  	-3.02442  	0.06170  	-0.08573  	-63.66266  	-1.42281  	436.42053  	387.76813  	-18137.52458  	-11475.40793  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00498  	0.01003  	0.00000  	0.00000  
54.76744  	22.77407  	50.07960  	49.79110  	27.77050  	-1.18512  	0.04988  	1.31316  	1.47930  	-3.02442  	0.06116  	-0.08577  	-63.18642  	-1.43020  	436.59991  	387.56423  	-18128.71040  	-11473.53705  	Inf  	-Inf  	0.00637  	0.00002  	0.00420  	0.00496  	0.01003  	0.00000  	0.00000  
55.76744  	22.77280  	50.07022  	49.78060  	27.73322  	-1.18512  	0.04928  	1.31529  	1.48194  	-3.02442  	0.05961  	-0.08574  	-62.73094  	-1.43579  	437.37817  	388.19269  	-18120.60010  	-11471.68016  	Inf  	-Inf  	0.00637  	0.00003  	0.00419  	0.00495  	0.01004  	0.00000  	0.00000  
56.76743  	22.77186  	50.06117  	49.77099  	27.69860  	-1.18512  	0.04953  	1.31406  	1.48163  	-3.02442  	0.05960  	-0.08570  	-62.30509  	-1.43858  	437.28601  	387.82931  	-18113.11814  	-11469.93620  	Inf  	-Inf  	0.00637  	0.00003  	0.00419  	0.00495  	0.01003  	0.00000  	0.00000  
57.76743  	22.77175  	50.05255  	49.76230  	27.67007  	-1.18512  	0.05110  	1.31405  	1.47895  	-3.02442  	0.06162  	-0.08575  	-61.94567  	-1.43894  	436.49479  	387.82823  	-18107.09360  	-11468.31867  	Inf  	-Inf  	0.00637  	0.00002  	0.00420  	0.00498  	0.01003  	0.00000  	0.00000  
58.76879  	22.77261  	50.04400  	49.75189  	27.64449  	-1.18512  	0.05004  	1.31392  	1.47719  	-3.02442  	0.05991  	-0.08573  	-61.61126  	-1.44815  	435.97525  	387.78755  	-18101.89641  	-11466.54709  	Inf  	-Inf  	0.00636  	0.00003  	0.00419  	0.00496  	0.01003  	0.00000  	0.00000  
59.76849  	22.77304  	50.03408  	49.74238  	27.61963  	-1.18512  	0.04923  	1.31348  	1.48327  	-3.02442  	0.06151  	-0.08566  	-61.29146  	-1.44612  	437.77133  	387.65812  	-18096.75971  	-11464.73222  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00495  	0.01003  	0.00000  	0.00000  
60.76849  	22.77332  	50.02485  	49.73416  	27.59707  	-1.18512  	0.05019  	1.31309  	1.48091  	-3.02442  	0.06152  	-0.08570  	-61.00266  	-1.44105  	437.07471  	387.54373  	-18092.07440  	-11463.10218  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00496  	0.01003  	0.00000  	0.00000  
61.76830  	22.77472  	50.01760  	49.72588  	27.57946  	-1.18512  	0.04918  	1.31350  	1.47976  	-3.02442  	0.06224  	-0.08565  	-60.76226  	-1.44621  	436.73464  	387.66367  	-18088.66677  	-11461.65092  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00494  	0.01003  	0.00000  	0.00000  
62.76849  	22.77614  	50.00951  	49.71859  	27.56223  	-1.18512  	0.04989  	1.31375  	1.48118  	-3.02442  	0.06046  	-0.08577  	-60.52627  	-1.44223  	437.15517  	387.73956  	-18085.34259  	-11460.21479  	Inf  	-Inf  	0.00637  	0.00002  	0.00419  	0.00496  	0.01003  	0.00000  	0.00000  
63.76854  	22.77854  	50.00199  	49.70985  	27.54580  	-1.18512  	0.05025  	1.31371  	1.48102  	-3.02442  	0.06065  	-0.08566  	-60.28818  	-1.44826  	437.10667  	387.72742  	-18082.39252  	-11458.69622  	Inf  	-Inf  	0.00637  	0.00003  	0.00419  	0.00496  	0.01003  	0.00000  	0.00000  
64.76850  	22.78035  	49.99464  	49.70295  	27.53131  	-1.18512  	0.05010  	1.31650  	1.48205  	-3.02442  	0.06059  	-0.08567  	-60.08213  	-1.44601  	437.40916  	388.55020  	-18079.72905  	-11457.36502  	Inf  	-Inf  	0.00637  	0.00003  	0.00419  	0.00496  	0.01004  	0.00000  	0.00000  
65.76840  	22.78315  	49.98695  	49.69522  	27.51932  	-1.18512  	0.05074  	1.31542  	1.48079  	-3.02442  	0.06228  	-0.08572  	-59.89505  	-1.44620  	437.03763  	388.23125  	-18077.79667  	-11455.92479  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00497  	0.01004  	0.00000  	0.00000  
66.76977  	22.78573  	49.97991  	49.68773  	27.50885  	-1.18512  	0.04906  	1.31607  	1.48265  	-3.02442  	0.06038  	-0.08573  	-59.73004  	-1.44849  	437.58854  	388.42300  	-18076.13844  	-11454.56765  	Inf  	-Inf  	0.00637  	0.00003  	0.00419  	0.00494  	0.01004  	0.00000  	0.00000  
67.77027  	22.78723  	49.97258  	49.68008  	27.49821  	-1.18512  	0.04928  	1.31555  	1.48021  	-3.02442  	0.06144  	-0.08571  	-59.57644  	-1.45009  	436.86693  	388.26894  	-18074.21743  	-11453.16848  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00495  	0.01004  	0.00000  	0.00000  
68.77071  	22.79132  	49.96503  	49.67274  	27.48838  	-1.18512  	0.05131  	1.31474  	1.48022  	-3.02442  	0.06263  	-0.08573  	-59.40050  	-1.44904  	436.87079  	388.03072  	-18073.01027  	-11451.77863  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00499  	0.01003  	0.00000  	0.00000  
69.77058  	22.79452  	49.95827  	49.66591  	27.48037  	-1.18512  	0.04949  	1.31470  	1.47827  	-3.02442  	0.06037  	-0.08568  	-59.25865  	-1.44941  	436.29515  	388.02034  	-18071.99935  	-11450.50889  	Inf  	-Inf  	0.00637  	0.00003  	0.00419  	0.00495  	0.01003  	0.00000  	0.00000  
70.77072  	22.79715  	49.95124  	49.65901  	27.47348  	-1.18512  	0.05015  	1.31510  	1.48030  	-3.02442  	0.06096  	-0.08569  	-59.13824  	-1.44875  	436.89535  	388.13613  	-18071.10415  	-11449.20838  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00496  	0.01003  	0.00000  	0.00000  
71.77132  	22.80134  	49.94448  	49.65256  	27.46732  	-1.18512  	0.04936  	1.31544  	1.47989  	-3.02442  	0.06153  	-0.08568  	-59.00746  	-1.44719  	436.77226  	388.23814  	-18070.68989  	-11447.97564  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00495  	0.01004  	0.00000  	0.00000  
72.77235  	22.80441  	49.93754  	49.64411  	27.46005  	-1.18512  	0.05147  	1.31528  	1.47777  	-3.02442  	0.06253  	-0.08571  	-58.87665  	-1.45465  	436.14807  	388.18961  	-18069.80939  	-11446.53793  	Inf  	-Inf  	0.00636  	0.00003  	0.00420  	0.00499  	0.01004  	0.00000  	0.00000  
73.77257  	22.80780  	49.93048  	49.63880  	27.45530  	-1.18512  	0.05096  	1.31507  	1.48372  	-3.02442  	0.06217  	-0.08566  	-58.77365  	-1.44601  	437.90292  	388.12792  	-18069.52149  	-11445.38231  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00498  	0.01003  	0.00000  	0.00000  
74.77308  	22.81136  	49.92548  	49.63274  	27.45124  	-1.18512  	0.05075  	1.31449  	1.48078  	-3.02442  	0.05952  	-0.08567  	-58.67735  	-1.45125  	437.03694  	387.95574  	-18069.41478  	-11444.35082  	Inf  	-Inf  	0.00637  	0.00003  	0.00419  	0.00497  	0.01003  	0.00000  	0.00000  
75.77339  	22.81597  	49.91915  	49.62578  	27.44591  	-1.18512  	0.05064  	1.31458  	1.47900  	-3.02442  	0.06117  	-0.08569  	-58.55176  	-1.45439  	436.51034  	387.98510  	-18069.26553  	-11443.10868  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00497  	0.01003  	0.00000  	0.00000  
76.77572  	22.82063  	49.91275  	49.62170  	27.44187  	-1.18512  	0.05096  	1.31478  	1.47931  	-3.02442  	0.06194  	-0.08578  	-58.44168  	-1.44288  	436.60057  	388.04296  	-18069.39673  	-11442.13115  	Inf  	-Inf  	0.00637  	0.00002  	0.00420  	0.00498  	0.01003  	0.00000  	0.00000  
77.77738  	22.82414  	49.90702  	49.61435  	27.43998  	-1.18512  	0.04915  	1.31418  	1.48095  	-3.02442  	0.06061  	-0.08569  	-58.37340  	-1.45093  	437.08692  	387.86668  	-18069.73644  	-11440.90920  	Inf  	-Inf  	0.00637  	0.00003  	0.00419  	0.00494  	0.01003  	0.00000  	0.00000  
78.77744  	22.82788  	49.90115  	49.60797  	27.43721  	-1.18512  	0.05067  	1.31502  	1.47943  	-3.02442  	0.06067  	-0.08575  	-58.29109  	-1.45343  	436.63651  	388.11477  	-18069.94017  	-11439.76641  	Inf  	-Inf  	0.00637  	0.00002  	0.00419  	0.00497  	0.01003  	0.00000  	0.00000  
79.77744  	22.83129  	49.89488  	49.60401  	27.43487  	-1.18512  	0.04757  	1.31393  	1.47745  	-3.02442  	0.06144  	-0.08575  	-58.21829  	-1.44199  	436.05167  	387.79286  	-18070.16337  	-11438.81074  	Inf  	-Inf  	0.00636  	0.00002  	0.00420  	0.00491  	0.01003  	0.00000  	0.00000  
80.77763  	22.83593  	49.89066  	49.59840  	27.43297  	-1.18512  	0.04935  	1.31517  	1.47878  	-3.02442  	0.06126  	-0.08568  	-58.13555  	-1.44885  	436.44575  	388.15722  	-18070.74165  	-11437.89327  	Inf  	-Inf  	0.00637  	0.00003  	0.00420  	0.00495  	0.01003  	0.00000  	0.00000  
